id;symbol;date;open;close;high;low;volume
1;Gorgeous Concrete Chair Integration Music;2020-02-27T03:48:50;25064;97436;99273;77609;2784
2;robust compelling hacking;2020-02-26T12:38:00;61394;12625;36472;67116;65419
3;systems middleware;2020-02-27T11:30:18;31947;44412;62463;26602;71469
4;Outdoors Granite TCP;2020-02-27T11:29:10;69308;83314;26129;38582;39681
5;ADP;2020-02-26T19:46:03;37783;46979;72306;18710;49419
6;driver Automotive Awesome Granite Pizza;2020-02-27T05:38:27;87002;90582;43223;15664;16234
7;whiteboard Hungary exploit;2020-02-26T16:06:20;64620;19343;83353;18872;65175
8;Avon;2020-02-27T11:19:47;56168;45727;73979;69817;92776
9;Legacy;2020-02-27T01:31:36;64460;31128;84428;30118;55545
10;Rubber Bolivia;2020-02-26T14:50:46;8924;70889;9133;52606;63742
