id;start_date;end_date;language
1;2020-02-27T08:56:00;2020-02-27T06:46:15;SPANISH
2;2020-02-26T13:46:11;2020-02-27T08:50:36;SPANISH
3;2020-02-27T04:41:30;2020-02-26T15:15:39;FRENCH
4;2020-02-26T19:59:01;2020-02-27T07:30:27;FRENCH
5;2020-02-27T05:29:19;2020-02-27T10:16:18;FRENCH
6;2020-02-26T23:21:40;2020-02-27T11:29:54;FRENCH
7;2020-02-27T01:07:00;2020-02-26T18:57:51;FRENCH
8;2020-02-27T00:03:13;2020-02-27T10:19:21;SPANISH
9;2020-02-26T22:44:22;2020-02-26T19:25:45;SPANISH
10;2020-02-27T06:56:26;2020-02-26T17:30:56;SPANISH
